titulo,valor
Lendas do Abaeté,2095
Bem Aventurados Sejam Os Persiguidos Pela Justiça Do Homem,2091
O Que É Que a Baiana Tem? Do Bonfim À Sapucaí,2091
Uma Vez Flamengo,2076
O Que Será?,2067
Dois de Fevereiro No Rio Vermelho,2063
"Marquês Que É Marquês, Do Saçarico É Freguês",2052
Não Se Meta Com Minha Fé! Acredito Em Quem Quiser,2051
"Bom, Bonito e Barato",2040
Babalotim,2040
Kizomba,2032
Chuê... Chuá as Águas Vão Rolar,2027
Zezé Motta: A Deusa de Ébano!,2013
Gaviões da Fiel,2013
Xeque,2007
"É Fantástico! Imagine, Admire e Sinta",2000
"Vinícius No Plural. Paixão, Poesia E Carnaval / Incidental: Se Todos Fossem Iguais À Você",1994
"""Os Deuses Do Olimpo Na Terra Do Carnaval; Uma Festa Dos Esportes Da Saúde E Da Beleza""",1989
"Goytacazes... Tupy Or Not Tupy, In A South American Way",1965
O Artista Da Alegria Dá O Tom Na Folia,1961
"Bravos Malês, a Saga de Luiza Mahim",1959
Tijuca 2009: Uma Odisséia Sobre O Espaço,1951
Bananas para o Preconceito,1947
"""Preto E Branco A Cores""",1944
Unidos de Vila Maria,1929
Surpresa! Adivinha o Que Eu Trouxe Pra Você,1926
Lendas e Festas das Yabas,1921
"Faces de Anysio, o Eterno Chico",1919
Casa de Bamba,1907
100% Camisa Verde e Branco Carnavalizando Mário de Andrade / O Berço do Samba / O Poeta e o Herói Na Paulicéia Desvairada,1896
Macunaíma,1883
"""Vou Juntando O Que Eu Quiser, Minha Mania Vale Ouro. Sou Tijuca, Trago A Arte Colecionando O Meu Tesouro""",1874
"Com As Mãos e a Garra de um Povo Sonhador, Surge o Contraste de uma Nova Metrópole | Sampa, Lugar de Sonhos, Oportunidades e Esperança",1873
Ibejís,1871
Ginga,1871
Da Seiva Materna Ao Equilibrio Da Vida,1865
Quem Viver Verá o Vinte Virar,1865
Essa Gente Bronzeada Mostra Seu Valor,1843
"Vim, Vi, Venci | a Saga Artística de um Semideus",1840
Sonhar Com Rei Dá Leão,1839
No Coração da Floresta Nascem Estrelas Que Brilham no Meu Carnaval,1824
O Cavaleiro Armorial Mandacariza o Carnaval,1818
"Pára Com Isso, Dá Cá O Meu",1815
A Seiva Da Vida,1813
Amor Com Amor Se Paga | uma História Animal,1806
Terra Dos Papagaios... Navegar Foi Preciso!!!,1795
O Presente da Deusa e o Brinde da Águia,1793
O Último Dos Profetas,1788
O Frasco do Bandoleiro,1769
Lugar de Mulher É Onde Ela Quiser!,1766
Renasce Sacode a Poeira e Dá a Volta por Cima,1762
Nos Confins de Vila Monte,1756
"Poder, Fé E Devoção: São Jorge Guerreiro",1755
Mãe Baiana Mãe,1730
Salgueiro É Sol E Sal Nos 400 Anos de Natal,1730
