titulo,valor
Trovão / Dói Demais,1551
Vê Se Me Escuta,1550
Duvido,1549
Foi Inevitável,1546
Quarto e Sala,1544
Avesso,1543
Pé Na Areia / Inaraí / Perfume (Ao Vivo),1541
Só pro Meu Prazer,1540
Com você tô completo,1540
Tão Seu,1540
Eternamente Feliz,1535
Jeitinho Manhoso / Sincera,1534
Vou Festejar,1532
Me Redimir,1532
É Tudo,1532
Valeu Pra Aprender,1531
Coisa de Pele,1528
Depois do Prazer (feat. Alcione),1527
Netflix,1526
Trovão / Controle Remoto,1524
Combinado Não Sai Caro,1521
Bateu Levou,1520
Já Deu,1516
Buzios E Tarô,1516
Medley: Quero Mais / Acredito Nesse Amor / Sem Frescura (Pele na Pele) / Câmera Escondida,1515
Tempo,1514
Faz Até Demais,1513
Nuvem / Derê,1510
No compasso do criador,1505
Acordar Com Você,1501
Além do Meu Querer,1499
Eu e Ela,1497
Pela última vez,1497
De Repente o Céu,1497
A Culpa É do Coração,1494
Primeiro Beijo,1494
24 Meses,1490
Trem das Onze,1489
O Cara Certo (feat. Sorriso Maroto),1486
É Nóis Fazê Parapapá,1486
Deixa Eu Te Tocar / Traição / 22 Minutos,1486
Misturados,1483
Quando a Gente Ama,1481
Pai do Filho Dela,1479
Diz Que Quer Ficar,1479
Brigar não tá com nada,1478
Sissi,1477
Uma Estrela,1477
Opções,1476
Jura pra Mim / Volta de Vez pra Mim / Abuso de Poder,1475
Você em Mim / Ôa Ôa (feat. Márcio Art & Leandro Lehart),1475
Do Jeito Que a Vida Quer,1474
Derê / Nuvem,1471
Entre Vãos,1469
Mundo De Oz,1468
Tarde Demais,1467
Perdoa Amor,1467
Salseiro,1466
Eternamente / Búzios e Tarô,1465
Antes De Dizer Adeus,1464
Meu bem,1463
Preciso Desabafar,1463
Mania de Beijar,1462
Vale tudo,1462
Meu Coração é Dela,1460
Onde Você Mora / Fim de Tarde / Pensando em Você,1457
Até Ver Você (hahaha),1455
Sozinho eu sou problema,1454
Pixote / Alô Gatinha,1454
Amigos,1454
Nem Todo Homem Mente,1454
"Princípio, Meio e Fim",1453
Pode Chorar,1441
Se Eu Tivesse O Poder,1438
Casa azul,1438
Ela Não Vale Nada,1431
Caminho das Flores,1430
Quero Mais (feat. Mumuzinho),1427
Londres,1426
Homem De Ferro,1426
